# x y z r p longitude latitude
-1.28100000e+06 -1.11560000e+06 -3.04260000e+06 3.48470000e+06 7.66380000e+08 -2.42509967e+00 -1.06158883e+00
-5.42000000e+05 -1.07500000e+06 -3.02380000e+06 3.25470000e+06 6.94090000e+09 -2.03778716e+00 -1.19185403e+00
1.57000000e+05 8.40000000e+03 -3.27520000e+06 3.27900000e+06 7.19810000e+09 5.34522196e-02 -1.52264835e+00
3.75000000e+05 -7.11400000e+05 -3.30570000e+06 3.40210000e+06 2.91620000e+09 -1.08568133e+00 -1.33217413e+00
6.33000000e+05 -6.40600000e+05 -3.37020000e+06 3.48850000e+06 9.97750000e+08 -7.91365429e-01 -1.30962650e+00
-3.41000000e+05 -2.35900000e+05 -3.37900000e+06 3.40440000e+06 3.59360000e+09 -2.53639881e+00 -1.44856516e+00
-8.20000000e+04 -5.93400000e+05 -3.14330000e+06 3.19990000e+06 7.45680000e+09 -1.70811340e+00 -1.38243261e+00
2.43000000e+05 -8.63600000e+05 -2.82080000e+06 2.96010000e+06 1.23100000e+10 -1.29650816e+00 -1.26279302e+00
2.16000000e+05 -1.00940000e+06 -3.29290000e+06 3.45090000e+06 9.15610000e+08 -1.35998717e+00 -1.26702382e+00
-8.25000000e+05 -4.06600000e+05 -3.30280000e+06 3.42850000e+06 2.59090000e+09 -2.68368261e+00 -1.29917338e+00
7.36000000e+05 -9.73000000e+05 -3.23030000e+06 3.45300000e+06 2.54150000e+09 -9.23196880e-01 -1.20968671e+00
2.64000000e+05 -2.16300000e+05 -3.47540000e+06 3.49220000e+06 6.31010000e+08 -6.86409825e-01 -1.47266801e+00
-2.50000000e+05 -4.98800000e+05 -3.37640000e+06 3.42220000e+06 1.81660000e+09 -2.03540578e+00 -1.40700889e+00
-4.20000000e+04 -2.36600000e+05 -3.43670000e+06 3.44510000e+06 2.17770000e+09 -1.74648101e+00 -1.50095025e+00
