# ID x y z r p longitude latitude
87001 -1.28100000e+06 -1.11560000e+06 -3.04260000e+06 3.48470000e+06 7.66380000e+08 -2.42509967e+00 -1.06158883e+00
87010 -8.25000000e+05 -4.06600000e+05 -3.30280000e+06 3.42850000e+06 2.59090000e+09 -2.68368261e+00 -1.29917338e+00
87015 -4.81000000e+05 1.98700000e+05 -3.01850000e+06 3.06310000e+06 9.99280000e+09 2.74984638e+00 -1.39994034e+00
87030 -6.66000000e+05 -2.61300000e+05 -3.07320000e+06 3.15540000e+06 7.00810000e+09 -2.76770509e+00 -1.34204110e+00
87037 -9.53000000e+05 1.09400000e+05 -3.10660000e+06 3.25140000e+06 6.88260000e+09 3.02729758e+00 -1.27123264e+00
87039 -6.92000000e+05 1.13000000e+04 -3.08530000e+06 3.16200000e+06 6.52430000e+09 3.12526463e+00 -1.35009062e+00
87047 -1.43700000e+06 7.20000000e+03 -3.13460000e+06 3.44830000e+06 2.84420000e+09 3.13658226e+00 -1.14094481e+00
87055 -1.14800000e+06 -6.77000000e+04 -3.24290000e+06 3.44080000e+06 1.59810000e+09 -3.08268875e+00 -1.22998655e+00
87063 -1.06900000e+06 9.03800000e+05 -3.04940000e+06 3.35540000e+06 4.05240000e+09 2.43973843e+00 -1.14040781e+00
87074 2.72000000e+05 -1.60230000e+06 -2.88170000e+06 3.30840000e+06 7.13240000e+09 -1.40264335e+00 -1.05728559e+00
87077 4.00000000e+03 -2.07640000e+06 -2.85320000e+06 3.52880000e+06 9.52960000e+08 -1.56886992e+00 -9.41678319e-01
87080 8.12000000e+05 -1.65860000e+06 -2.59890000e+06 3.18820000e+06 6.08270000e+09 -1.11552787e+00 -9.53009097e-01
87081 -1.35900000e+06 -1.26320000e+06 -2.82130000e+06 3.37680000e+06 3.66300000e+09 -2.39271246e+00 -9.89033252e-01
87082 -1.08300000e+06 -8.90300000e+05 -3.13800000e+06 3.43700000e+06 1.70430000e+09 -2.45353951e+00 -1.15059181e+00
87084 -1.95000000e+05 -7.57000000e+05 -3.34640000e+06 3.43650000e+06 1.26800000e+09 -1.82291108e+00 -1.34130161e+00
87101 -1.85900000e+06 -1.20080000e+06 -2.62130000e+06 3.43060000e+06 1.52380000e+09 -2.56807779e+00 -8.69635341e-01
87102 -1.34700000e+06 -8.51700000e+05 -3.07070000e+06 3.45970000e+06 1.73250000e+09 -2.57776541e+00 -1.09202690e+00
87103 -1.09200000e+06 -3.46200000e+05 -3.24110000e+06 3.43760000e+06 1.44380000e+09 -2.83458345e+00 -1.23104638e+00
87104 -8.00000000e+05 -9.27500000e+05 -3.19650000e+06 3.42320000e+06 2.87350000e+09 -2.28252199e+00 -1.20482167e+00
87107 -9.90000000e+04 -8.49800000e+05 -3.01370000e+06 3.13280000e+06 8.21280000e+09 -1.68677155e+00 -1.29417216e+00
87108 -1.92000000e+05 -7.03500000e+05 -2.73800000e+06 2.83350000e+06 1.23200000e+10 -1.83722878e+00 -1.31043141e+00
87115 -1.96500000e+06 -8.61700000e+05 -2.73880000e+06 3.47920000e+06 1.33830000e+09 -2.72832290e+00 -9.06243207e-01
87117 -9.44000000e+05 -1.80800000e+05 -3.05440000e+06 3.20210000e+06 6.91040000e+09 -2.95235885e+00 -1.26588648e+00
87129 -1.49100000e+06 -5.11300000e+05 -3.10380000e+06 3.48110000e+06 1.04470000e+09 -2.81123529e+00 -1.10089886e+00
87131 -4.64000000e+05 -6.54400000e+05 -3.30590000e+06 3.40190000e+06 3.00050000e+09 -2.18756797e+00 -1.33266504e+00
87132 -4.76000000e+05 -2.97600000e+05 -2.85930000e+06 2.91390000e+06 1.00000000e+10 -2.58284228e+00 -1.37690674e+00
87133 1.75000000e+05 -8.14900000e+05 -3.10250000e+06 3.21250000e+06 6.35600000e+09 -1.35925887e+00 -1.30835220e+00
87134 -4.15000000e+05 -1.25000000e+05 -3.11470000e+06 3.14470000e+06 6.46600000e+09 -2.84903089e+00 -1.43255691e+00
87143 -1.23400000e+06 -1.19100000e+05 -2.96800000e+06 3.21650000e+06 5.74020000e+09 -3.04537528e+00 -1.17513560e+00
87144 -8.49000000e+05 -1.38700000e+05 -3.32550000e+06 3.43500000e+06 2.75940000e+09 -2.97965454e+00 -1.31762228e+00
87150 2.30000000e+05 -1.70400000e+05 -2.75690000e+06 2.77180000e+06 1.25980000e+10 -6.37631976e-01 -1.46706214e+00
87157 -1.59900000e+06 -2.14500000e+05 -3.10220000e+06 3.49670000e+06 1.58440000e+09 -3.00824240e+00 -1.09119584e+00
87158 -1.46900000e+06 -3.15200000e+05 -2.87400000e+06 3.24310000e+06 6.75460000e+09 -2.93022970e+00 -1.08905429e+00
87164 -2.31000000e+05 7.68000000e+04 -2.97590000e+06 2.98590000e+06 9.58040000e+09 2.82062152e+00 -1.48893125e+00
87172 -1.52000000e+06 4.62100000e+05 -2.67440000e+06 3.11070000e+06 8.59630000e+09 2.84645814e+00 -1.03476465e+00
87174 -7.72000000e+05 1.59800000e+05 -2.82110000e+06 2.92920000e+06 8.90740000e+09 2.93748044e+00 -1.29827652e+00
87186 -1.49500000e+06 2.49700000e+05 -3.16170000e+06 3.50630000e+06 7.04970000e+08 2.97609689e+00 -1.12373113e+00
87187 -1.20900000e+06 1.74600000e+05 -3.25570000e+06 3.47730000e+06 7.54720000e+08 2.99816740e+00 -1.21186398e+00
87198 -1.62900000e+06 4.70700000e+05 -3.00530000e+06 3.45070000e+06 1.97880000e+09 2.86030379e+00 -1.05708098e+00
87211 -1.34700000e+06 1.08520000e+06 -2.50150000e+06 3.04130000e+06 7.87480000e+09 2.46342082e+00 -9.65810416e-01
87222 -1.30200000e+06 1.03490000e+06 -2.78940000e+06 3.24760000e+06 7.28010000e+09 2.46999736e+00 -1.03313981e+00
87242 -6.35000000e+05 -1.41390000e+06 -3.10320000e+06 3.46880000e+06 1.28780000e+09 -1.99291187e+00 -1.10754271e+00
87244 -5.26000000e+05 -2.10530000e+06 -2.72010000e+06 3.47970000e+06 1.74640000e+09 -1.81562969e+00 -8.97395577e-01
87252 -1.27900000e+06 -1.08840000e+06 -2.60780000e+06 3.10180000e+06 6.70470000e+09 -2.43653147e+00 -9.98644138e-01
87254 -7.46000000e+05 -1.24120000e+06 -2.89480000e+06 3.23680000e+06 6.63580000e+09 -2.11197376e+00 -1.10695399e+00
87258 -2.19000000e+05 -1.22030000e+06 -3.20330000e+06 3.43490000e+06 1.95750000e+09 -1.74837010e+00 -1.20148028e+00
87259 7.10000000e+04 -1.08560000e+06 -2.98260000e+06 3.17480000e+06 6.21120000e+09 -1.50548772e+00 -1.22105317e+00
87261 1.75000000e+05 -1.49530000e+06 -3.12300000e+06 3.46700000e+06 1.56420000e+09 -1.45429293e+00 -1.12155945e+00
87264 -1.57200000e+06 -1.07230000e+06 -2.56880000e+06 3.19690000e+06 6.60490000e+09 -2.54296456e+00 -9.33199187e-01
87267 -1.02100000e+06 -1.15750000e+06 -3.11690000e+06 3.47810000e+06 1.43080000e+09 -2.29361850e+00 -1.11101645e+00
87271 5.60000000e+04 -1.23780000e+06 -3.21010000e+06 3.44100000e+06 2.75670000e+09 -1.52558560e+00 -1.20237599e+00
87274 1.15300000e+06 -1.29560000e+06 -2.74820000e+06 3.24970000e+06 6.36990000e+09 -8.43569818e-01 -1.00783440e+00
87277 -1.62300000e+06 -1.25720000e+06 -2.77210000e+06 3.44960000e+06 2.07790000e+09 -2.48252322e+00 -9.33320150e-01
87279 -9.65000000e+05 -8.15200000e+05 -2.67800000e+06 2.96100000e+06 8.00090000e+09 -2.44014457e+00 -1.13002811e+00
87285 9.22000000e+05 -1.14500000e+06 -2.83020000e+06 3.18930000e+06 5.56350000e+09 -8.92868314e-01 -1.09168460e+00
87289 -1.71000000e+06 -1.47230000e+06 -2.66700000e+06 3.49350000e+06 8.03820000e+08 -2.43075044e+00 -8.68588148e-01
87290 -1.56500000e+06 -7.71400000e+05 -2.64440000e+06 3.16820000e+06 6.01580000e+09 -2.68363525e+00 -9.87532474e-01
87297 6.75000000e+05 -7.54600000e+05 -2.79860000e+06 2.97610000e+06 9.74780000e+09 -8.41020640e-01 -1.22368169e+00
87303 -1.27400000e+06 -7.78400000e+05 -2.67150000e+06 3.06040000e+06 8.25710000e+09 -2.59313216e+00 -1.06116640e+00
87310 7.30000000e+04 -3.84400000e+05 -2.92670000e+06 2.95280000e+06 1.06400000e+10 -1.38312477e+00 -1.43773904e+00
