# ID x y z r p longitude latitude
14004 4.54100000e+05 -5.77380000e+06 -2.10980000e+06 6.16390000e+06 2.66800000e+09 -1.49230951e+00 -3.49345904e-01
14019 -3.14000000e+05 -5.27530000e+06 -2.64350000e+06 5.90890000e+06 1.29480000e+10 -1.63024886e+00 -4.63829182e-01
15786 6.43930000e+05 -5.64410000e+06 -2.36830000e+06 6.15460000e+06 3.58010000e+09 -1.45719845e+00 -3.94992874e-01
17625 -8.85000000e+05 -5.62640000e+06 -1.68260000e+06 5.93890000e+06 1.23860000e+10 -1.72681221e+00 -2.87252589e-01
17627 -1.18970000e+06 -5.71950000e+06 -2.01020000e+06 6.17810000e+06 4.26900000e+09 -1.77587960e+00 -3.31408403e-01
17644 -1.00860000e+06 -5.51210000e+06 -1.93170000e+06 5.92720000e+06 1.40220000e+10 -1.75177352e+00 -3.31968100e-01
19530 -1.23200000e+06 -5.84120000e+06 -1.28200000e+06 6.10580000e+06 7.00220000e+09 -1.77866525e+00 -2.11538442e-01
19537 1.95300000e+05 -5.83180000e+06 -1.91870000e+06 6.14240000e+06 3.98410000e+09 -1.53732003e+00 -3.17686598e-01
19552 9.42170000e+05 -5.56740000e+06 -2.49850000e+06 6.17460000e+06 4.00900000e+09 -1.40315483e+00 -4.16586874e-01
21500 -5.66700000e+05 -5.89010000e+06 -1.55730000e+06 6.11880000e+06 7.53000000e+09 -1.66671338e+00 -2.57341696e-01
21504 -5.74900000e+05 -5.80080000e+06 -2.09520000e+06 6.19430000e+06 1.45840000e+09 -1.66958076e+00 -3.45052892e-01
21516 1.15010000e+06 -5.64150000e+06 -2.29280000e+06 6.19730000e+06 1.75080000e+09 -1.36968795e+00 -3.78974110e-01
21517 9.23840000e+05 -5.83170000e+06 -1.70300000e+06 6.14510000e+06 5.23370000e+09 -1.41368500e+00 -2.80807253e-01
21519 1.68050000e+06 -5.87980000e+06 -1.00500000e+06 6.19730000e+06 1.90400000e+09 -1.29240907e+00 -1.62886728e-01
21527 -1.47120000e+06 -5.41860000e+06 -2.16460000e+06 6.01760000e+06 1.25580000e+10 -1.83591432e+00 -3.67958692e-01
23561 -1.08060000e+06 -5.67570000e+06 -1.46940000e+06 5.96160000e+06 1.37470000e+10 -1.75893525e+00 -2.49043886e-01
23563 5.86440000e+05 -5.65650000e+06 -1.79310000e+06 5.96280000e+06 1.52460000e+10 -1.46748999e+00 -3.05441668e-01
23565 1.02130000e+06 -5.75020000e+06 -1.98280000e+06 6.16760000e+06 1.11960000e+09 -1.39501817e+00 -3.27298882e-01
23569 -1.71940000e+06 -5.51830000e+06 -2.24320000e+06 6.20000000e+06 8.83430000e+08 -1.87284416e+00 -3.70204893e-01
23572 1.15900000e+05 -5.58560000e+06 -2.42740000e+06 6.09130000e+06 7.25680000e+09 -1.55004952e+00 -4.09883829e-01
23576 1.51100000e+06 -5.62280000e+06 -1.96380000e+06 6.14450000e+06 4.57020000e+09 -1.30827107e+00 -3.25310374e-01
23578 1.56160000e+06 -5.50520000e+06 -2.23670000e+06 6.14400000e+06 2.99420000e+09 -1.29439779e+00 -3.72608553e-01
23581 1.16240000e+06 -5.86220000e+06 -1.57090000e+06 6.17930000e+06 2.66620000e+09 -1.37504810e+00 -2.57040846e-01
23583 -2.12900000e+06 -5.31420000e+06 -1.08500000e+06 5.82670000e+06 1.63830000e+10 -1.95184116e+00 -1.87305039e-01
23591 -1.86500000e+05 -6.05380000e+06 -1.25120000e+06 6.18460000e+06 4.44490000e+09 -1.60159368e+00 -2.03715063e-01
23592 -6.08900000e+05 -5.59090000e+06 -1.71510000e+06 5.87970000e+06 1.48160000e+10 -1.67927789e+00 -2.96002142e-01
23603 2.30610000e+06 -5.43360000e+06 -1.73870000e+06 6.15350000e+06 3.96940000e+09 -1.16942149e+00 -2.86456233e-01
23604 2.02880000e+06 -5.38790000e+06 -2.20140000e+06 6.16370000e+06 2.12350000e+09 -1.21066968e+00 -3.65220869e-01
23606 -2.80150000e+06 -5.28570000e+06 -1.49490000e+06 6.16620000e+06 4.69450000e+09 -2.05816657e+00 -2.44874492e-01
